name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,latitude,longitude,severity_score,year_valid,decade,century,mass_category,fall_found_flag,hemisphere_ns,hemisphere_ew,location_quality
grove mountains 052725,48359,valid,l5,2.25,found,2006.0,-72.784722,75.289167,"-72.784722, 75.289167",-72.784722,75.289167,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052727,50447,valid,l6,1.8,found,2006.0,-72.78472,75.28917,"-72.78472, 75.28917",-72.78472,75.28917,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052729,48360,valid,ll6,1.19,found,2006.0,-72.789167,75.272222,"-72.789167, 75.272222",-72.789167,75.272222,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052730,50448,valid,l6,1.16,found,2006.0,-72.78917,75.27222,"-72.78917, 75.27222",-72.78917,75.27222,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052739,46984,valid,l5,3.94,found,2006.0,-72.78333,75.29528,"-72.78333, 75.29528",-72.78333,75.29528,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052744,48361,valid,l5,2.19,found,2006.0,-72.945833,75.266667,"-72.945833, 75.266667",-72.945833,75.266667,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052745,48362,valid,l6,1.55,found,2006.0,-72.783333,75.295278,"-72.783333, 75.295278",-72.783333,75.295278,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052746,48363,valid,l5,1.2,found,2006.0,-72.783333,75.295278,"-72.783333, 75.295278",-72.783333,75.295278,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052748,50449,valid,l6,1.18,found,2006.0,-72.78333,75.29528,"-72.78333, 75.29528",-72.78333,75.29528,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052753,50450,valid,l6,0.51,found,2006.0,-72.78538,75.2844,"-72.78538, 75.2844",-72.78538,75.2844,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052758,50451,valid,l6,393.0,found,2006.0,-72.77861,75.31667,"-72.77861, 75.31667",-72.77861,75.31667,2,True,2000.0,21.0,medium,found,south,east,valid
grove mountains 052759,50452,valid,l6,395.0,found,2006.0,-72.78,75.31694,"-72.78, 75.31694",-72.78,75.31694,2,True,2000.0,21.0,medium,found,south,east,valid
grove mountains 052764,50453,valid,l5,77.84,found,2006.0,-72.77722,75.31528,"-72.77722, 75.31528",-72.77722,75.31528,1,True,2000.0,21.0,small,found,south,east,valid
grove mountains 052766,50454,valid,l5,77.83,found,2006.0,-72.77833,75.31556,"-72.77833, 75.31556",-72.77833,75.31556,1,True,2000.0,21.0,small,found,south,east,valid
grove mountains 052767,46985,valid,l6,62.4,found,2006.0,-72.7775,75.31472,"-72.7775, 75.31472",-72.7775,75.31472,1,True,2000.0,21.0,small,found,south,east,valid
grove mountains 052771,50455,valid,l5,43.12,found,2006.0,-72.77806,75.31472,"-72.77806, 75.31472",-72.77806,75.31472,1,True,2000.0,21.0,small,found,south,east,valid
grove mountains 052772,50456,valid,l6,48.24,found,2006.0,-72.77722,75.31417,"-72.77722, 75.31417",-72.77722,75.31417,1,True,2000.0,21.0,small,found,south,east,valid
grove mountains 052775,48364,valid,l5,22.0,found,2006.0,-72.941667,75.291944,"-72.941667, 75.291944",-72.941667,75.291944,1,True,2000.0,21.0,small,found,south,east,valid
grove mountains 052776,50457,valid,l6,18.76,found,2006.0,-72.77778,75.31389,"-72.77778, 75.31389",-72.77778,75.31389,1,True,2000.0,21.0,small,found,south,east,valid
grove mountains 052782,50458,valid,l6,15.42,found,2006.0,-72.78139,75.31444,"-72.78139, 75.31444",-72.78139,75.31444,1,True,2000.0,21.0,small,found,south,east,valid
grove mountains 052783,50459,valid,l6,15.29,found,2006.0,-72.77944,75.31389,"-72.77944, 75.31389",-72.77944,75.31389,1,True,2000.0,21.0,small,found,south,east,valid
