recclass,nametype,fall,fall_found_flag,classification_key
l/ll5-6,valid,found,found,553
l(ll)5,valid,found,found,554
l(ll)6,valid,found,found,555
ll3.1-3.5,valid,found,found,556
e5,valid,found,found,557
lodranite-an,valid,found,found,558
ci1,valid,found,found,559
h3.2-6,valid,found,found,560
ll3.15,valid,found,found,561
h(?)4,valid,found,found,562
e5-an,valid,found,found,563
h3.2-an,valid,found,found,564
eh6-an,valid,found,found,565
c,valid,found,found,566
stone-ung,valid,found,found,567
c1/2-ung,valid,found,found,568
l/ll,valid,found,found,569
